yurt_ilce;yurt_ismi;yurt_cinsiyet;yurt_kategori;yurt_puan;yurt_degerlendirme_sayisi;yurt_saat;yurt_tel;yurt_adres;yurt_website; yurt_enlem ; yurt_boylam 
karabaglar;sehit bahattin yildiz yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;4,0;33;24 saat acik;0539 931 36 85;esenlik, 9056. sk. no:10, 35160 karabaglar/izmir;-;38.39732411811151; 27.11261601059921
karabaglar;ozel izmir amerikan koleji ortaogretim erkek ogrenci yurdu;erkek;ozel;4,2;15;-;0232 355 04 94;esenyali, inonu cd. no:617, 35140 karabaglar/izmir;http://www.aci.k12.tr/en;38.39443627220196; 27.09052298969516
karabaglar;izmir ozel yesilyurt orta ogretim erkek ogrenci yurdu;erkek;ozel;4,4;94;-;0232 231 70 83;tahsin yazici, mevlana cd. no:37, 35160 karabaglar/izmir;-;38.39018575755881; 27.109071232022842
karabaglar;ozel makbule akkus ortaogrenim kiz ogrenci yurdu;kiz;ozel;4,7;33;-;-;gunaltay, 4830. sk., 35130 karabaglar/izmir;-;38.37516122032998; 27.119243747367484
karabaglar;ozel murat guzelyali yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;-;-;-;-;vatan, 35160 karabaglar/izmir;-;38.387938247881785; 27.10135923758224
karabaglar;ozel diyanet suren yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;1,0;1;-;-;esentepe, 74/2. sk., 35140 karabaglar/izmir;-;38.39269568747582; 27.076947391548295
karabaglar;erkek ogrenci yurdu;erkek;-;1,0;1;-;-;fahrettin altay, 35140 karabaglar/izmir;-;38.39566637764203; 27.066420218011743
konak;ataturkcu dusunce dernegi gazi ayse altintas yuksek ogrenim kiz ogrenci yurdu;kiz;vakif;4,3;72;24 saat acik;0232 250 02 11;tinaztepe, esrefpasa cd. 267 a, 35270 konak/izmir;http://www.addaysealtintasyurdu.com/;38.4101462389596; 27.130075770124662
konak;pamukcu kiz ogrenci yurdu;kiz;ozel;2,0;1;-;0232 261 26 33;piri reis, 298. sk. no:5, 35280 konak/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgoIuOKg9-Lb4aFpEAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGJiZDkzMDI4OWQ2ZTUxOjB4Njk0Mzg2ZGUyZWU4MzEzOA&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjwqMeOkoWCAxXKh_0HHXjDBtEQrK0LegQIBRAC;38.40554603467876; 27.11528022038446
konak;ozel sule yuksek ogrenim kiz ogrenci yurdu;kiz;ozel;3,4;9;-;-;cankaya, 141. sk., 35280 konak/izmir;-;38.40408737604834; 27.10139812038447
konak;izmir- konak ozel halil rifat yuksek ogretim erkek ogrenci yurdu;erkek;ozel;3,7;12;-;-;altintas, halil rifat pasa cd. no:189, 35260 konak/izmir;-;38.408855478031136; 27.125019700813965
konak;tac yildiz;-;ozel;2,5;2;-;-;gunes, 921. sk., 35250 konak/izmir;-;38.41770999098262; 27.136854335729105
konak;karakas erkek ogrenci yurdu;erkek;ozel;-;-;gecici olarak kapali;-;murat reis, 246. sk. no:22, 35280 konak/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgoI-POvxePty5dfEAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGJiZGY1NDQwYjRmNmIzOjB4NWYyZjJmNmUzOGFiZjlmOA&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjh7Z3YkoWCAxUDk_0HHakgDv4QrK0LegQIBRAC;38.403949230345994; 27.111612754780026
konak;aridil erkek ogrenci yurdu;erkek;ozel;5,0;1;gecici olarak kapali;-;cinarli, 1578. sk., 35170 konak/izmir;-;38.43930662483651; 27.177661678056783
konak;gullu mumcu yuksek ogrenim kiz ogrenci yurdu;kiz;ozel;5,0;3;-;-;murat reis, 179. sk. no:43, 35280 konak/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgsIpMSfv87SkIjXARAB/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGJiZDkzNWQzY2RkYTczOjB4ZDcxMDQyOTRlN2U3ZTIyNA&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiWm5LpkoWCAxVZ7LsIHcVjD8kQrK0LegQIBRAC;38.40436959139282; 27.10639814922062
menemen;aycan kiz ogrenci yurdu;kiz;ozel;3,2;43;24 saat acik;0552 809 04 35;85. yil cumhuriyet, dogu cd. no:59/9, 35665 menemen/izmir;-;38.58078058348672; 26.981571232022844
menemen;koyundere kiz yurdu;kiz;ozel;4,3;26;-;0232 846 13 13;kemal ataturk, 7528. sk. no:1, 35672 menemen/izmir;-;38.5765355884126; 27.069722408746085
narlidere;ozel narlidere camlik yuksekogrenim erkek ogrenci yurdu;erkek;ozel;4,6;62;24 saat acik;0232 238 61 74;camtepe, hurriyet sk. no:19, 35320 narlidere/izmir;http://mebcamlikogrenciyurdu.com/;38.39293202526265; 27.015440491548294
narlidere;denizhan kiz ogrenci yurdu;kiz;ozel;4,5;25;-;0232 256 49 00;mahallesi no:, dalya sk. no:6, 35320 narlidere;http://www.denizhanogrenciyurdu.com/;38.39232763461067; 27.026233764565266
seferihisar;ozel burc yuksek ogrenim erkek yurdu;erkek;ozel;5,0;1;-;0232 743 40 60;turabiye, 52/4. sk., 35460 seferihisar/izmir;-;38.19615871314981;26.84298580385328
seferihisar;ozel cuneyt acet ortaogrenim erkek ogrenci yurdu;erkek;ozel;4,0;21;-;-;colak ibrahim bey, 93. sk., 35460 seferihisar/izmir;-;38.21008157149792;26.835196773164
selcuk;selcuk yurt;-;ozel;4,0;4;-;0535 597 01 95;ataturk, siegburg cd. no:9-a, 35920 selcuk/izmir;http://www.thkselcuk.com/;37.950465442131716; 27.370459856485915
tire;zehra kiz ogrenci yurdu;kiz;ozel;5,0;3;-;0232 511 05 41;kurtulus, 23 nisan cd. no:12, 35900 tire/izmir;https://www.google.com/travel/hotels/izmir%20%20tire%20yurt/entity/CgsI6PHc1YT9ztKWARAB/prices?g2lb=2502548,2503771,2503781,2504375,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393630,72404481&hl=tr-TR&gl=tr&ssta=1&q=izmir++tire+yurt&ts=CAESABorCikSJzIlMHgxNGI5M2NhYmJkODM5ODI5OjB4OTZhNTNiZTg0YWI3MzhlOA&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjZhY2apYmCAxWKiv0HHU2LAiEQrK0LegQIFBAC;38.090183324861705;27.739115197774236
tire;ataturk ogrenci yurdu tire;-;-;-;-;-;0232 511 01 61;ihsaniye, gokcen efe meydani no:3, 35900 tire/izmir;https://www.google.com/travel/hotels/izmir%20%20tire%20yurt/entity/CgsIjOX42LrosqemARAB/prices?g2lb=2502548,2503771,2503781,2504375,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393630,72404481&hl=tr-TR&gl=tr&ssta=1&q=izmir++tire+yurt&ts=CAESABorCikSJzIlMHgxNGI5MjM1MTk4NzkyMWViOjB4YTY0ZWNiNDNhYjFlMzI4Yw&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwifz5qbpYmCAxXgh_0HHevVBtoQrK0LegQIBxAC;38.09001821679372;27.74581907872336
tire;tire kyk yurdu;-;devlet;4,5;12;-;-;yeni, kadife sk. no:4, 35900 tire/izmir;-;38.09732163464517;27.737254686655522
tire;ozel yesil tire orta ogrenim erkek ogrenci yurdu;erkek;ozel;4,7;20;-;-;ataturk, 35905 tire/izmir;https://www.google.com/travel/hotels/izmir%20%20tire%20yurt/entity/CgoIr8WKibikmpoMEAE/prices?g2lb=2502548,2503771,2503781,2504375,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393630,72404481&hl=tr-TR&gl=tr&ssta=1&q=izmir++tire+yurt&ts=CAESABoqCigSJjIkMHgxNGI5M2NiYTYyNjYwNGY3OjB4YzM0NjkyMzgxMjJhMmFm&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwj4ocCepYmCAxVihf0HHcLIAAkQrK0LegQIBRAC;38.09968407363431;27.72566187501712
torbali;murat eroglu erkek ogrenci yurdu;erkek;ozel;4,5;6;-;0232 854 85 00;yedi eylul, izmir aydin cd. no:187, 35860 torbali/izmir;https://www.google.com/travel/hotels/izmir%20%20torbal%C4%B1%20yurt/entity/CgoI5cLL8uzt4NUXEAE/prices?g2lb=2502548,2503771,2503781,2504375,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4963887,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393625&hl=tr-TR&gl=tr&ssta=1&q=izmir++torbal%C4%B1+yurt&ts=CAESABorCikSJzIlMHgxNGI5NWI1NmU2ODRkM2Q3OjB4MTdhYjgzNmVjZTUyZTE2NQ&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiV3rLnpImCAxUii_0HHSZmD3UQrK0LegQIBRAC;38.15648380946285;27.365383957819365
torbali;sule ortaogretim kiz ogrenci yurdu;kiz;ozel;3,0;2;-;-;ertugrul, 3075. sk. no:6, 35860 torbali/izmir;https://www.google.com/travel/hotels/izmir%20%20torbal%C4%B1%20yurt/entity/CgsI1Jvv1uSdmeCwARAB/prices?g2lb=2502548,2503771,2503781,2504375,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4963887,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393625&hl=tr-TR&gl=tr&ssta=1&q=izmir++torbal%C4%B1+yurt&ts=CAESABorCikSJzIlMHgxNGI5NWIzNWFkYjQ1NDA1OjB4YjBjMDY0ZWU0YWRiY2RkNA&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiGx8HopImCAxV2iv0HHROOCT4QrK0LegQIFBAC;38.15855752038758;27.35937626523184
urla;urla anadolu kiz ogrenci yurdu;kiz;ozel;1,0;1;-;-;naipli, sargin sk. 18-20, 35430 urla/izmir;https://www.google.com/travel/hotels/izmir%20%20urla%20yurt/entity/CgsIx7SSyaGDtfn2ARAB/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393625&hl=tr-TR&gl=tr&ssta=1&q=izmir++urla+yurt&ts=CAESABorCikSJzIlMHgxNGJiOTNmMDQ0ZWFiYzcxOjB4ZjZmMmQ0MWExOTI0OWE0Nw&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiI3vWcpImCAxX3h_0HHWfpAlkQrK0LegQIDRAC;38.319848036127276;26.771627761525597
urla;milli egitim bakanligi ozel mirac yuksek ogreni yurdu;-;ozel;4,3;6;-;-;yenice, duman sk., 35430 urla/izmir;-;38.31999446594885;26.771019996440796
urla;iyte kyk ogrenci yurdu urla;-;devlet;3,4;93;24 saat acik;0232 765 91 19;gulbahce, 35433 urla/izmir;https://www.google.com/travel/hotels/izmir%20%20urla%20yurt/entity/CgsIldnLg5it5eyJARAB/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393625&hl=tr-TR&gl=tr&ssta=1&q=izmir++urla+yurt&ts=CAESABorCikSJzIlMHgxNGJiOTExMGY5MjUyMWVmOjB4ODlkOTk1Njk4MDcyZWM5NQ&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiq7I2fpImCAxVhi_0HHXidCewQrK0LegQIFRAC;38.32519716816656;26.63612968294928
