yurt_ilce;yurt_ismi;yurt_cinsiyet;yurt_kategori;yurt_puan;yurt_degerlendirme_sayisi;yurt_saat;yurt_tel;yurt_adres;yurt_website; yurt_enlem ; yurt_boylam 
bornova;ozel atahan kiz ogrenci yurdu;kiz;ozel;4,2;135;24 saat acik;0232 343 00 70;kazimdirik, 364/11. sk. no:4, 35100 bornova/izmir;http://www.atahanogrenciyurdu.com/;38.44551657654195; 27.202671406892954
bornova;ozel bornova villa yuksekogretim kiz ogrenci yurdu;kiz;ozel;4,4;66;-;0530 605 76 94;evka 3, kucukseyler anaokulu arkasi, erzene mahallesi, 115/2. sk. profesorler sitesi no:7, 35040 bornova/izmir;http://www.ozelbornovavillakizyurdu.com/;38.47067489803012; 27.23857775478002
bornova;kilicoglu ogrenci yurdu;-;-;3,7;98;-;0232 400 78 78;kazimdirik, 367/4 sk no:9, 35100 bornova/izmir;http://www.kilicogluogrenciyurdu.com/;38.45123002377992; 27.20565099340143
bornova;yasemin kiz ogrenci yurdu;kiz;ozel;4,2;30;24 saat acik;0232 373 29 00;kazimdirik, 6, 150. sk., 35100 bornova/izmir;http://www.yaseminogrenciyurdu.com/;38.46557191245953; 27.218932616678195
bornova;izmir bornova ozel papatyam kiz ogrenci yurdu;kiz;ozel;4,6;8;-;0232 343 43 02;erzene, 116. sk. no:6, 35040 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgsI0-2u_fPJm9aLARAB/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,72298667,72302247,72317059,72370226,72379816,72390435,72393625,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5N2NlOGUyNTcxM2NmOjB4OGJhYzZlNGYzZmFiYjZkMw&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiirt7smoWCAxVngP0HHUfeBzQQrK0LegQIBBAC;38.46844100222315; 27.23393921719778
bornova;forum kiz ogrenci yurdu;kiz;ozel;4,6;36;-;0532 057 65 35;kazimdirik, 372/9. sk. no:21, 35100 bornova/izmir;https://ozelbornovaforumkizogrenciyurdu.business.site/?utm_source=gmb&utm_medium=referral;38.446907274856805; 27.218750645514355
bornova;ozel engin deniz erkek ogrenci yurdu;erkek;ozel;3,0;48;24 saat acik;0232 339 12 12;erzene, 8. sk. no:46, 35040 bornova/izmir;-;38.468713401913334; 27.223545095254558
bornova;ozel kilit residance yuksekogrenim kiz ogrenci yurdu;kiz;ozel;3,0;51;-;0232 388 39 12;erzene, 62. sk. no:14, 35040 bornova/izmir;-;38.463646112219244; 27.227175935729104
bornova;ozel egelim yuksekogrenim kiz ogrenci yurdu;kiz;ozel;4,2;19;24 saat acik;0232 348 84 06;kazimdirik, 259. sk. no: 12, 35100 bornova/izmir;http://www.egelimkizyurdu.com/sayfalar/iletisim.php;38.45907881247304; 27.20207130689295
bornova;yasar universitesi ogrenci yurdu;-;ozel;3,7;84;24 saat acik;0232 570 80 20;mah, 367/2 sokak no : 9/2 kazim dirik, 35100 bornova/izmir;https://yurt.yasar.edu.tr/;38.45104211308747; 27.2041027357291
bornova;yuksek ogrenim kredi ve yurtlar kurumu bornova ogrenci yurdu;-;devlet;3,7;211;-;-;mevlana, 1744. sk. no:1, 35050 bornova/izmir;-;38.45071164006074; 27.231636886508486
bornova;ozel hedef yuksek ogrenim ogrenci yurdu;-;ozel;4,3;55;-;0232 388 58 56;erzene, 61. sk. no:12, 35040 bornova/izmir;https://hedefyurt.com/;38.4641217187254; 27.227676110599212
bornova;kyk yoruk ali efe erkek ogrenci yurdu mudurlugu b blok;erkek;devlet;4,5;44;24 saat acik;0232 373 72 71;mevlana, 1771/1. sk no:7, 35050 bornova/izmir;https://kygm.gsb.gov.tr/;38.448501349678786; 27.227882254780017
bornova;birgul hanim yuksek ogrenim kiz ogrenci aparti;kiz;ozel;4,7;37;24 saat acik;0545 145 24 24;erzene, 37. sk. no:7, 35040 bornova/izmir;https://www.birgulhanimkizaparti.com/;38.469039600251065; 27.227303324090723
bornova;yuksek ogrenim kredi ve yurtlar kurumu;-;devlet;3,0;5;-;-;erzene, ege unv., 35040 bornova/izmir;-;38.45071164006074; 27.232763414305477
bornova;altay erkek ogrenci apart;erkek;ozel;3,5;15;24 saat acik;0552 694 16 78;mevlana, 1700. sk. no:10, 35050 bornova/izmir;https://altay-erkek-ogrenci-apart.business.site/?utm_source=gmb&utm_medium=referral;38.45017715497844; 27.237245560859005
bornova;gsb kyk yoruk ali efe erkek ogrenci yurdu;erkek;devlet;4,1;140;24 saat acik;0232 388 95 00;mevlana, no:, 1776. sk. no:4, 35050 bornova/izmir;-;38.44987286284701; 27.227561935729096
bornova;ozel yuksekogrenim sevgiyle kiz ogrenci yurdu;kiz;ozel;5,0;4;-;0553 374 49 09;kazimdirik, 229. sk. no:7, 35100 bornova/izmir;http://www.sevgiylekizogrenciyurdu.com/;38.45923910367564; 27.20173514551436
bornova;ulusoy residence & konaklama;-;ozel;3,7;132;-;0549 374 16 66;mevlana, 1743/1. sk. no:13, 35050 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgsI-7izzfjD6d2HARAB/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5N2Q3MjQ3NzE4OTZiOjB4ODdiYmE2MWY4OWFjZGM3Yg&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwih4o2AkoWCAxXGhP0HHacsCm0QrK0LegQIBRAC;38.44970641039558; 27.23138111947487
bornova;kyk bornova erkek ogrenci yurdu e blok;erkek;devlet;4,1;16;-;-;mevlana, 1744. sk., 35050 bornova/izmir;-;38.44992080635314; 27.231432838695007
bornova;yukselis ogrenci residence;-;ozel;4,3;142;24 saat acik;0507 502 58 85;kazimdirik, universite cd., 35100 bornova/izmir;http://www.yukselisresidence.com/;38.45376864494136; 27.199536324090726
bornova;ozel beyaz zambak orta ogrenim kiz ogrenci yurdu;kiz;ozel;4,8;30;-;-;evka 3, 113. sk., 35050 bornova/izmir;-;38.46927730099769; 27.240419093401435
bornova;orkun yuksek ogrenim erkek ogrenci yurdu bornova;erkek;ozel;3,1;17;-;0232 339 55 03;erzene, 67. sk. no:15, 35040 bornova/izmir;-;38.46408421202833; 27.2239216971077
bornova;tomak erkek ogrenci yurdu;erkek;ozel;3,7;3;-;0232 343 09 76;kazimdirik, 1745. sok. no:6, 35100 bornova/izmir;-;38.44897185690553; 27.221325687911204
bornova;ozel ulusoy ata erkek ogrenci yurdu;erkek;ozel;4,6;19;24 saat acik;0507 689 40 40;erzene, 8. sk. no:46, 35040 bornova/izmir;http://www.ulusoyerkekogrenciyurdu.com/;38.46865130091613; 27.22353123758224
bornova;tugva izmir - sehit fethi sekin yuksekogrenim erkek ogrenci yurdu;erkek;-;4,1;33;-;0553 859 01 52;kazimdirik, 5003. sk. no:39, 35100 bornova/izmir;-;38.44136035965858; 27.186262300813958
bornova;sifa universitesi bornova erkek ogrenci yurdu;erkek;-;-;-;-;0232 461 66 20;kazim dirik mah. 364/4 sk., no: 9/1 b blok, 35100 bornova;-;38.45088945742893; 27.205575662712132
bornova;kucukpark erkek ogrenci yurdu;erkek;ozel;-;-;gecici olarak kapali;-;karacaoglan, otogar, 35070 bornova/izmir;https://www.yurtlarburada.com/bornova-kucukpark-erkek-ogrenci-yurdu-y-3026;38.432450891411996; 27.214544132022844
bornova;mutlusoy yuksekogrenim kiz ogrenci yurdu;kiz;ozel;-;-;gecici olarak kapali;0232 373 61 37;ergene, 554. sk. no:32, 35040 bornova/izmir;-;38.466333707727486; 27.21570648176305
bornova;ahmediye yuksek ogrenci yurdu;-;-;5,0;3;-;-;kizilay, 35030 bornova/izmir;-;38.47082549767926; 27.220592149220618
bornova;kyk ege yurt mudurlugu;-;devlet;2,3;46;-;0232 388 10 83;erzene, ege unv., 35040 bornova/izmir;-;38.454443935839244; 27.23585024736749
bornova;gelincik kiz yurdu;kiz;ozel;3,0;2;-;-;kazimdirik, 200. sk. 2-3, 35100 bornova/izmir;-;38.465050408313495; 27.208223512452342
bornova;yali kiz ogrenci yurdu;kiz;ozel;-;-;gecici olarak kapali;-;kazimdirik, ankara cd. no:249, 35100 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgoI5eO9k7bIo7k4EAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5N2QzMTkzOWZmMTBiOjB4Mzg3MjhlNDM2MjZmNzFlNQ&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwifounUkoWCAxXsgP0HHQltAlwQrK0LegQIBRAC;38.45816457483464; 27.207516470849022
bornova;ozel murat ozturk orta ogretim erkek ogrenci yurdu;erkek;ozel;1,7;3;gecici olarak kapali;-;mevlana, 1739. sk., 35050 bornova/izmir;-;38.45068643564084; 27.234465306892957
bornova;ozel atif bey kiz ogrenci yurdu;kiz;ozel;2,8;5;-;-;erzene, genclik cd. no:31, 35040 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgoIj5aIvvrr14A-EAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5N2NkZWFkNGVkN2M3OjB4M2UwMTVmNWZhN2MyMGIwZg&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjZpPDdkoWCAxU-gv0HHQq_AjwQrK0LegQIBRAC;38.46236578712216; 27.226067001045354
bornova;ozel menekse yuksek ogrenim kiz ogrenci yurdu;kiz;ozel;-;-;gecici olarak kapali;-;kazimdirik, 196. sk., 35100 bornova/izmir;-;38.462827117138666; 27.206986805039815
bornova;pelikan erkek apart;erkek;ozel;3,6;123;-;0532 779 24 75;mevlana, 1745. sk. no:5, 35050 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgoI0p3-xL682v5MEAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5N2NkMjY3ZGIwN2Q3OjB4NGNmZDY5ZTNlODlmOGVkMg&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjNzuHlkoWCAxVwhP0HHduGCvkQrK0LegQIBBAC;38.44953416187356; 27.23119621595632
bornova;ozel dutlu sokak3 yok ogrenci yurdu;-;ozel;3,0;7;gecici olarak kapali;-;kazimdirik, 35000 bornova/izmir;-;38.44437703255711; 27.189408974350517
bornova;ogrenci yurdu;-;-;-;-;gecici olarak kapali;-;kazimdirik, 372. sk. no:12, 35100 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgsItvrZ-Le4w_ubARAB/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5NjJkNGQ0ZDFlNWVkOjB4OWJmNzBkYzM3ZjE2N2QzNg&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiq_abqkoWCAxWqg_0HHYg0AF0QrK0LegQIBRAC;38.45000625313411; 27.21778550926566
bornova;dutlu sokak erkek ogrenci yurdu;erkek;ozel;-;-;gecici olarak kapali;-;erzene, 113. sk. no: 7, 35040 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgoI2LjKl8Lz7p4qEAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5N2M4YzM2ZjIwNjcxOjB4MmEzZGJiOWMyMmYyOWM1OA&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwil86_wkoWCAxVlhf0HHXwaBOYQrK0LegQIBRAC;38.474351290500266; 27.249635039435375
bornova;yediveren erkek ogrenci yurdu;erkek;ozel;1,0;1;gecici olarak kapali;-;kizilay, 342. sk. no:73, 35100 bornova/izmir;https://www.google.com/travel/hotels/izmir%20yurtlar/entity/CgoI56vjqfjT-pg-EAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,10207535,72298667,72302247,72317059,72370226,72379816,72389535,72389537,72390435,72393630,72398503&hl=tr-TR&gl=tr&ssta=1&q=izmir+yurtlar&ts=CAESABorCikSJzIlMHgxNGI5NjJiOTYwNWMxMmU3OjB4M2UzMWVhOWY4NTM4ZDVlNw&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwir2r7xkoWCAxWpgP0HHU2tDdoQrK0LegQIBhAC;38.443135717158725; 27.191396186052167
buca;ozel palmira rezidans yuksekogrenim kiz ogrenci yurdu;kiz;ozel;4,2;134;-;0507 651 99 55;yildiz, no:, 199/6. sk. no:10, 35390 buca/izmir;http://palmirarezidans.com/;38.374934165606746; 27.181202705039816
buca;ozel ekin yuksekogrenim erkek ogrenci yurdu;erkek;ozel;4,3;102;24 saat acik;0232 440 50 10;ataturk, 63. sk. no:20, 35160 buca/izmir;http://www.ekinyurdu.com/;38.38182795609726; 27.179248385469315
buca;ozel uygun buca kiz ogrenci yurdu;kiz;ozel;4,0;42;24 saat acik;0535 716 60 33;adatepe, 8/5. sk. no:4, 35020 buca/izmir;-;38.384382608843076; 27.183766289695164
buca;yuksek ogrenim kredi ve yurtlar kurumu buca kiz ogrenci yurdu;kiz;devlet;4,1;169;-;0232 453 70 74;kurucesme, 203/40. sk., 35390 buca/izmir;http://izmir.gsb.gov.tr/;38.37150946013285; 27.190336047367488
buca;buca tinaztepe asil kiz oprenci yurdu;kiz;ozel;3,3;40;24 saat acik;0532 216 23 58;kurucesme mahallesi dogus caddesi tinaztepe, no:206, 35140 buca/izmir;http://www.asilkizyurdu.com.tr/;38.37027383896849; 27.196352327796994
buca;yuksek ogrenim kredi ve yurtlar kurumu hanzade hatun ogrenci yurdu;-;devlet;3,3;100;-;-;yildiz, 206/64. sk. no:8, 35390 buca/izmir;-;38.37257611903667; 27.18839654128851
buca;ozel sultan ahmet kiz ogrenci yurdu;kiz;ozel;3,4;38;-;0544 487 90 96;adatepe, 61. sk. no:10, 35400 buca/izmir;http://www.sultanahmetyurt.com/;38.38149885415895; 27.182675424090725
buca;sim kiz ogrenci yurdu;kiz;ozel;3,6;252;24 saat acik;0534 203 83 82;yildiz, 206/40. sk. no:24, 35222 buca/izmir;http://www.simyurtlari.com/;38.3732729584618; 27.181752985988908
buca;ozel dokuz eylul yuksekogrenim erkek ogrenci yurdu;erkek;ozel;3,9;78;24 saat acik;0505 495 36 55;adatepe, 3. sk. no:51, 35600 buca/izmir;https://www.dokuzeylulerkekyurdu.com/;38.38435382883234; 27.18524192409073
buca;ozel fakulte yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;4,9;44;24 saat acik;0530 569 58 29;vali rahmi bey, 15, 139. sk., 35380 buca osb/buca/izmir;https://xn--faklteyurt-ceb.com/;38.38769658161328; 27.17177212223759
buca;ozel guven yuksekogretim erkek ogrenci yurdu;erkek;ozel;4,0;29;24 saat acik;0232 420 99 80;adatepe, 4. sk. no:18, 35370 buca/izmir;https://www.guvenerkekyurdu.com/;38.38334551218182; 27.18358653202284
buca;sehzade kiz yurdu;kiz;ozel;4,5;35;24 saat acik;0506 330 00 61;yaylacik, 38/2. sk. no.5, 35400 buca/izmir;http://www.izmirbucakizyurtlari.com/;38.39065361975344; 27.181410260859007
buca;kyk izmir kiz ogrenci yurdu;kiz;devlet;3,8;293;-;0232 440 10 66;kurucesme, dogus cd. no:132, 35390 buca osb/buca/izmir;https://www.guncel-egitim.org/kyk-izmir-kiz-ogrenci-yurdu/;38.377286226169026; 27.19119804736749
buca;papatya kiz ogrenci yurdu;kiz;ozel;5,0;12;24 saat acik;0232 420 09 02;dumlupinar, 68. sk. no:8, 35400 buca/izmir;-;38.38534320649755; 27.17798490318668
buca;yuksek ogrenim kredi ve yurtlar kurumu hoca ahmet yesevi yurt mudurlugu cumhuriyet blogu;-;devlet;3,8;15;-;0232 442 13 00;gaziler, 1080/2 sk no:2, 35390 buca/izmir;-;38.39389903871323; 27.18440292409073
buca;haci ahmet tatari yurdu;-;devlet;2,7;231;-;0232 420 51 64;gaziler, 1086. sk. no:7, 35390 buca/izmir;https://www.guncel-egitim.org/buca-haci-ahmet-tatari-kyk-erkek-yurdu/;38.39116389085438; 27.184094129650124
buca;ozel smyrna kiz ogrenci yurdu;kiz;ozel;4,9;47;-;0232 442 48 11;dumlupinar, 109. sk. no:18, 35000 buca osb/buca/izmir;http://www.smyrnakizogrenciyurdu.com/;38.38467218829495; 27.17260422594386
buca;ozel alacati yuksekogrenim erkek ogrenci yurdu;erkek;ozel;4,2;23;24 saat acik;0533 310 27 67;ataturk, 202/44. sk. a blok no:1, 35390 buca/izmir;https://yurtalacati.com/;38.37728016151588; 27.18711265900587
buca;izmir ozel deniz kiz ogrenci yurdu;kiz;ozel;-;-;24 saat acik;0539 405 43 95;dumlupinar, 81. sk. no:36, 35160 buca/izmir;https://izmirdenizkizogrenciyurdu.business.site/?utm_source=gmb&utm_medium=referral;38.38776321557735; 27.17391794914209
buca;ozel dramali erkek ogrenci yurdu;erkek;ozel;3,9;161;24 saat acik;0532 292 08 28;dumlupinar, baris manco kultur sk. no:26-28, 35678 buca/izmir;http://www.mdramali.com/;38.385244016595244; 27.17332083202284
buca;pelin kiz ogrenci yurdu;kiz;ozel;4,9;36;-;0532 667 73 93;adatepe, 8/5. sk., 35400 buca/izmir;http://www.bucaozelkizyurdu.com/;38.38431744924328; 27.184272216158607
buca;lider erkek yurdu | izmir buca ozel yurt;erkek;ozel;4,3;47;24 saat acik;0232 452 53 54;efeler, 308/3. sk. no:2, 35380 buca osb/buca/izmir;https://lidererkekyurdu.com/;38.38877309261774; 27.159334968271537
buca;ozel mutlu dokuz eylul tinaztepe erkek ogrenci yurdu;erkek;ozel;3,9;84;24 saat acik;0505 495 36 55;kozagac, 220. sk. no:68, 35390 buca/izmir;http://www.dokuzeylulerkekyurdu.com/;38.37814846397429; 27.177036197107697
buca;eylul yuksek ogrenim kiz ogrenci yurdu;kiz;ozel;4,6;12;-;0552 210 00 80;adatepe, 3. sk. no: 65, 35400 buca/izmir;http://eylulkizogrenciyurdu.com/;38.38345330104942; 27.18516169340143
buca;universite ogrenci evi;-;ozel;3,9;161;24 saat acik;0532 560 28 28;kurucesme, 205/12. sk. no:5, 35160 buca/izmir;http://www.universiteogrencievi.com/;38.366378976892136; 27.19853646271214
buca;ozel onder izmir sehit ahmet ozsoy yuksekogretim erkek ogrenci yurdu;erkek;ozel;4,1;31;24 saat acik;0552 481 29 58;ataturk, 63/7. sk. no:1, 35390 buca/izmir;-;38.38022711465481; 27.180772633875975
buca;gazi ayse hanim kiz ogrenci yurdu;kiz;devlet;3,7;145;-;0232 503 92 78;yildiz, 203/38. sk. no:57, 35390 buca/izmir;https://kygm.gsb.gov.tr/YurtMudurlukleri;38.37255261506571; 27.187738939435373
buca;ozel beyler yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;3,7;38;-;0507 760 09 27;ataturk, 202/35. sk. no:41, 35160 buca/izmir;http://beyleryurdu.com/hakkimizda/;38.37768116081663; 27.1831126971077
buca;ozel deniz ortaokul kiz ogrenci yurdu;kiz;ozel;4,4;7;-;0232 275 76 12;goksu, 668/5. sk. no: 14, 35380 buca/izmir;-;38.36261354949889; 27.145860902667096
buca;ozel buca egitim erkek ogrenci yurdu;erkek;ozel;4,0;62;24 saat acik;0554 815 01 35;vali rahmi bey, mah, 130. sk. no:12, 35380 buca/izmir;https://buca-egitim-erkek-ogrenci-yurdu.business.site/;38.38860596068182; 27.167669216678203
buca;barbaros kyk erkek ogrenci yurdu;erkek;devlet;4,5;17;-;-;yenigun, gazeteci yazar ismail sivri blv no:202, 35390 buca osb/buca/izmir;-;38.37323255856979; 27.163886756633154
buca;ozel eroglu yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;4,3;157;-;0232 453 63 32;ataturk mah, 204/4. sk. no:4, 35000 buca/izmir;http://www.erogluogrenciyurtlari.com/;38.377273164584835; 27.18014773943537
buca;ozel gunes kiz ogrenci yurdu;kiz;ozel;2,7;25;24 saat acik;0232 442 48 78;dumlupinar, kibris cd. no:32, 35400 buca/izmir;http://www.ozelguneskizyurdu.com/;38.38522392796125; 27.17955667620365
buca;ayaz erkek ogrenci yurdu;erkek;ozel;4,3;55;24 saat acik;0555 624 85 25;ataturk, 207. sk. no:27, 35390 buca/izmir;http://xn--ayazerkekrenciyurdu-y6b57f.com.tr/;38.380754851794386; 27.178866847367487
buca;ozel dokuz eylul buca erkek ogrenci yurdu;erkek;ozel;4,2;21;-;0505 495 36 55;dumlupinar, baris manco kultur sk. no: 25, 35400 buca/izmir;https://www.dokuzeylulerkekyurdu.com/;38.385096849270184; 27.17409553150325
buca;elmas kiz ogrenci yurdu;kiz;ozel;4,8;26;24 saat acik;0232 608 86 86;camlipinar, 293/65. sk no:7, 35390 buca/izmir;https://www.elmaskizyurdu.com/;38.36873162350436; 27.160658639435372
buca;altinsaray yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;3,9;7;-;0232 420 01 51;vali rahmi bey, 127. sk. no:12, 35380 buca/izmir;-;38.38554836861762; 27.169886805039816
buca;ozel buca yildiz yuksek ogretim erkek ogrenci yurdu;erkek;ozel;4,4;70;-;+92 324542595;buca koop., 1417. sk. no:5, 35678 buca/izmir;http://www.kursunkalem.com/izmir/buca/ozel-buca-yildiz-yuksek-ogretim-erkek-ogrenci-yurdu/;38.367910325318114; 27.181358518531326
buca;ozel eroglu kiz ogrenci yurdu;kiz;ozel;3,0;2;-;0232 442 40 50;ataturk, 204/26. sk. no:4, 35390 buca/izmir;http://www.erogluogrenciyurtlari.com/erkek/kiz-yurdu-sube-2;38.380461080902215; 27.18308181482506
buca;hanzade hatun yuksek ogrenim kiz ogrenci yurdu;kiz;devlet;-;-;-;0232 503 92 68;yildiz, 206/37. sk. no:7, 35390 buca/izmir;-;38.37212103877826; 27.188112693401425
buca;barbaros kyk ogrenci yurdu buca;-;devlet;3,5;91;-;-;buca koop., 200/68. sk no:4, 35390, 35390 buca osb/buca/izmir;-;38.36728553863911; 27.179801722237595
buca;izelman yuksek ogrenim erkek ogrenci yurdu;erkek;-;3,2;9;24 saat acik;0232 440 22 72;ataturk, 63. sk. no:42, 35390 buca/izmir;http://www.erogluogrenciyurtlari.com/kiz/eroglu-yurt-iletisim.php;38.381304264806005; 27.180830198960837
buca;konfor ogrenci evi;-;ozel;3,6;37;-;0232 375 55 45;kurucesme, dogus cd. no:186, 35390 buca/izmir;http://www.konforogrencievi.com/;38.3714509945875; 27.195446459005872
buca;izmir hoca ahmet yesevi ogrenci yurdu;-;devlet;3,5;456;-;-;kurucesme, 35678 buca/izmir;-;38.37280212414966; 27.190573868271542
buca;buca anatolia kiz ogrenci yurdu;kiz;ozel;3,9;25;-;0232 420 39 00;adatepe, 4. sk. no:5/a, 35400 buca/izmir;http://anatoliayurtlari.com/;38.38314734032088; 27.183269568271538
buca;ozel cagli kiz ogrenci yurdu;kiz;ozel;3,4;23;gecici olarak kapali;0232 454 20 00;kurucesme, dogus cd. no:222, 35390 buca/izmir;-;38.369268286359194; 27.196740362712138
buca;ozel cagdas yuksek ogrenim kiz ogrenci yurdu;kiz;ozel;-;-;gecici olarak kapali;0232 440 62 48;dumlupinar, baris manco kultur sk. no: 13, 35400 buca/izmir;-;38.38543341781992; 27.173297395254565
buca;ilim yayma cemiyeti ozel buca yuksekogrenim kiz ogrenci yurdu;kiz;ozel;5,0;19;-;0501 700 92 99;yenigun, nazim hikmet cd no: 40, 35390 buca/izmir;https://iyc.org.tr/yurtlar/buca-yuksekogretim-kiz-ogrenci-yurdu-109706;38.37986062474209; 27.16609198361618
buca;ozel nermin hanim kiz ogrenci yurdu;kiz;ozel;-;-;gecici olarak kapali;-;dumlupinar, 82. sk., 35400 buca/izmir;-;38.38406178964342; 27.17333423943537
buca;elysium life center erkek ogrenci yurdu;erkek;ozel;3,1;77;24 saat acik;0552 303 98 00;kozagac, 220. sk. no:68, 35390 buca/izmir;-;38.37820123196433; 27.177202833356386
buca;ozel izmir yuksek erkek ogrenci yurdu;erkek;ozel;-;-;gecici olarak kapali;0232 442 01 65;adatepe, 24. sk. no:6, 35390 buca/izmir;-;38.38692738331268; 27.1820411971077
